Hanzi,Pinyin,Sino_Vietnamese,Viet_Meaning,,,,,,,
匕,bǐ,chủy,dao găm/cái muôi/loại thìa cổ,,,,,,,
巳,sì,tị,"chi thứ 6 trong 12 địa chi: 9-11 giờ sáng, tháng 4 âm lịch (5 tháng 5-5 tháng 6), năm Tỵ/hướng la bàn cổ Trung Quốc: 150°",,,,,,,
刃,rèn,nhận,cạnh của lưỡi dao,,,,,,,
壬,rén,nhâm,"thiên can thứ chín trong mười Thiên Can 十天干[shi2 tian1 gan1]/thứ chín theo thứ tự/chữ ""I"" hoặc số La Mã ""IX"" trong danh sách ""A, B, C"", hoặc ""I, II, III"" vv/điểm la bàn Trung Quốc cổ: 345°/cửu",,,,,,,
夭,yāo,yêu | yểu,(hình thức kết hợp) chết yểu (cũng đọc là [yao3])/(văn học) (cây cối) tươi tốt | chết yểu (biến thể của 夭[yao1]),,,,,,,
仑,lún,lôn,sắp xếp | biến thể của 崙|仑[lun2] | dùng trong 崑崙|昆仑[Kun1 lun2],,,,,,,
亢,kàng,kháng,"họ [Kang4]/Khang, một trong 28 chòm sao | cao/ngạo mạn/quá mức",,,,,,,
夯,hāng,bổn,biến thể của 笨[ben4] | đầm, nện/dụng cụ đầm, cái đầm/(tiếng lóng) phổ biến, hot,,,,
戊,wù,mậu,"thiên can thứ năm trong Mười Thiên Can 十天干[shi2 tian1 gan1]/thứ năm trong thứ tự/chữ ""E"" hoặc số La Mã ""V"" trong danh sách ""A, B, C"", hoặc ""I, II, III"" v.v.",,,,,,,
轧,yà|zhá,yết,họ [Ya4] | chen chúc (trong đám đông)/kết bạn/kiểm tra (sổ sách) | nghiền/nán ai đó bằng xe cộ | cán (thép),,,,,,,
卢,lú,lô,họ [Lu2]/viết tắt của Luxembourg 盧森堡|卢森堡[Lu2sen1bao3] | (cổ) dụng cụ đựng gạo/màu đen/chữ cổ của 廬|庐[lu2]/(tiếng lóng) (Đài Loan) phiền phức/kỹ lưỡng,,,,,,,
叽,jī,kỉ,cằn nhằn,,,,,,,
叩,kòu,khấu,gõ/dập đầu | biến thể cũ của 叩[kou4]/gõ,,,,,,,
冉,rǎn,nhiễm,biến thể của 冉[ran3] | họ [Ran3] | mép mai rùa/dùng trong 冉冉[ran3 ran3],,,,,,,
皿,mǐn,mãnh,(hình vị hạn chế) đĩa, đồ chứa, vật chứa nông/bộ số 108,,,,,
乍,zhà,sạ,lúc đầu/đột nhiên/đột ngột/xù lên/(tóc) dựng đứng/dựng ngược,,,,,,,
卯,mǎo,mão,"lỗ mộng (rãnh khoét trong gỗ để nhận mộng)/chi thứ 4 trong 12 địa chi: 5-7 giờ sáng, tháng thứ 2 âm lịch (6 tháng 3-4 tháng 4), năm Mão/phương vị la bàn cổ của Trung Quốc: 90° (đông)/biến thể của 鉚|铆[mao3]/gắng sức | biến thể của 卯[mao3] | biến thể cũ của 卯[mao3]",,,,,,,
弗,fú,phất,(văn học) không/dùng trong phiên âm,,,,,,,
迂,yū,vu,suy nghĩ máy móc/giáo điều/dài dòng/quanh co,,,,,,,
戎,róng,nhung,họ [Rong2] | thuật ngữ chung cho vũ khí (cũ)/quân đội (sự vụ)/quân sự,,,,,,,
芋,yù,dụ,khoai môn/Colocasia antiquorum/Colocasia esculenta,,,,,,,
戌,qu|xū,tuất,"dùng trong 屈戌兒|屈戌儿[qu1 qu5 r5] | chi thứ 11: 7-9 giờ tối, tháng 9 âm lịch (8 tháng Mười-6 tháng Mười Một), năm Tuất/hướng la bàn thời cổ Trung Quốc: 300°",,,,,,,
尧,yáo,nghiêu,"họ [Yao2]/Diêu hoặc Đường Nghiêu (khoảng 2200 TCN), một trong Ngũ Đế huyền thoại 五帝[Wu3 Di4], con trai thứ hai của Đế Khốc 帝嚳|帝喾[Di4 Ku4]",,,,,,,
吆,yāo,yêu,hét/lèo nhèo/la lớn (để thúc động vật)/rao bán (hàng hóa),,,,,,,
臼,jiù,cữu,cái cối,,,,,,,
肋,lèi,lặc,xương sườn/tiếng Đài Loan đọc là [le4],,,,,,,
匈,xiōng,hung,Hungary/người Hungary/viết tắt của 匈牙利[Xiong1 ya2 li4] | biến thể cổ của 胸[xiong1],,,,,,,
亥,hài,hợi,"địa chi thứ 12: 9-11 giờ tối, tháng 10 âm lịch (7 tháng Mười Một-6 tháng Mười Hai), năm Hợi/phương vị la bàn cổ Trung Quốc: 330°",,,,,,,
汝,rǔ,nhữ,ngươi,,,,,,,
妃,fēi,phi,phi tần,,,,,,,
