Level,WL,Hanzi,Pinyin,Sino_Vietnamese,Traditional,Freq,Examples,Viet_Meaning,English_Meaning,,,,,,,,,,,,,,,,,,,,,,,
1,1,别,bié,biệt,別/彆,27,别 别的 别人 特别 分别,"khác, đừng, chia ly",surname Bie,,,,,,,,,,,,,,,,,,,,,,,
1,1,爸,bà,ba,爸,2,爸爸 爸,"bố, ba",father, dad, pa, papa,,,,,,,,,,,,,,,,,,,,
1,1,吧,ba,ba,吧,3,吧 酒吧 网吧,"nhé, đi, thôi (trợ từ/quán bar)","bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧",,,,,,,,,,,,,,,,,,,,,,,
1,1,告,gào,cáo,告,21,告诉 广告 报告 告别 转告,"bảo, nói, tố cáo",to say, to tell, to announce, to report, to denounce, to file a lawsuit, to sue,,,,,,,,,,,,,,,,,
1,2,妹,mèi,muội,妹,3,妹妹 妹 姐妹,em gái,younger sister,,,,,,,,,,,,,,,,,,,,,,,
1,1,哪,nǎ,"nả, na",哪,6,哪 哪里 哪儿 哪些 哪怕,"nào, đâu",how, which,,,,,,,,,,,,,,,,,,,,,,
1,1,你,nǐ,nễ,你,2,你 你们,"bạn, cậu, anh, chị (ngôi thứ 2)","you (informal, as opposed to courteous 您)",,,,,,,,,,,,,,,,,,,,,,,
1,1,她,tā,tha,她,2,她 她们,"cô ấy, chị ấy, bà ấy",she,,,,,,,,,,,,,,,,,,,,,,,
1,1,爱,ài,ái,愛,20,爱 爱好 爱情 爱人 可爱,Yêu thích,to love, to be fond of, to like, affection, to be inclined (to do sth), to tend to (happen),,,,,,,,,,,,,,,,,,
1,1,八,bā,bát,八,7,八 八卦 横七竖八 乱七八糟 七嘴八舌,"Tám, số đếm",eight,8,,,,,,,,,,,,,,,,,,,,,,
1,1,白,bái,bạch,白,17,白 白天 明白 白色 白菜,Sắc trắng,surname Bai,,,,,,,,,,,,,,,,,,,,,,,
1,1,百,bǎi,"bách, bá, mạch",百,8,百 老百姓 百货 百分点 百分比,Trăm,surname Bai,,,,,,,,,,,,,,,,,,,,,,,
1,2,班,bān,ban,班,14,班 上班 下班 班长 班级,"Ban phát, chia cho",surname Ban,,,,,,,,,,,,,,,,,,,,,,,
1,1,半,bàn,bán,半,16,半 半年 半天 一半 半夜,Nửa,half, semi-, incomplete, (after a number) and a half,,,,,,,,,,,,,,,,,,,,
1,1,帮,bāng,bang,幫,4,帮 帮忙 帮助 帮手,Chữa mép dầy,old variant of 帮,,,,,,,,,,,,,,,,,,,,,,,
1,1,包,bāo,bao,包,19,包 包子 面包 钱包 书包,"Bọc, dùng đồ bọc ngoài cái gì gọi là bao",surname Bao,,,,,,,,,,,,,,,,,,,,,,,
1,2,杯,bēi,bôi,杯,5,杯 杯子 干杯 世界杯 奖杯,Cái chén,"cup; trophy cup; classifier for certain containers of liquids: glass, cup",,,,,,,,,,,,,,,,,,,,,,,
1,1,北,běi,bắc,北,9,北 北边 北京 北方 东北,Phương bắc,north, (classical) to be defeated,,,,,,,,,,,,,,,,,,,,,,
1,1,备,bèi,bị,備,16,准备 设备 具备 配备 预备,Ðủ,,,,,,,,,,,,,,,,,,,,,,,,
1,1,本,běn,"bổn, bản",本,33,本 本子 课本 笔记本 本来,"Gốc, một cây gọi là nhất bổn 一本","root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc",,,,,,,,,,,,,,,,,,,,,,,
1,1,比,bǐ,"bỉ, bí, bì, tỉ",比,21,比 比如 比如说 比较 比例,"So sánh, lấy sự gì cùng một loài mà so sánh nhau gọi là bỉ",Belgium, Belgian, abbr. for 比利时,,,,,,,,,,,,,,,,,,,,,
1,1,边,biān,biên,邊,33,北边 东边 后边 里边 那边,Ven bờ,side, edge, margin, border, boundary, simultaneously,,,,,,,,,,,,,,,,,,
1,1,病,bìng,bệnh,病,23,病 病人 看病 生病 毛病,Ốm,illness, disease, to fall ill, defect,,,,,,,,,,,,,,,,,,,,
1,1,不,bù,"bất, phầu, phủ, phi",不,207,不大 不对 不客气 不用 不,Chẳng,no, not so, (bound form) not, un-,,,,,,,,,,,,,,,,,,,,
1,1,菜,cài,thái,菜,5,菜 菜单 白菜 蔬菜 菜市场,Rau,dish (type of food), vegetable, cuisine, (coll.) (one's) type, (of one's skills etc) weak, poor,,,,,,,,,,,,,,,,,,
1,1,茶,chá,trà,茶,7,茶 红茶 绿茶 奶茶 茶叶,"Cây chè (trà), lá dùng chế ra các thứ chè uống",tea, tea plant,,,,,,,,,,,,,,,,,,,,,,
1,1,差,chà,"soa, si, sai, sái",差,16,差 差不多 差别 差距 差点儿,Sai nhầm,difference, discrepancy, (math.) difference (amount remaining after a subtraction), (literary) a little, somewhat, slightly,,,,,,,,,,,,,,,,,,
1,1,常,cháng,thường,常,25,常 常常 非常 常见 常用,Thường (lâu mãi),surname Chang,,,,,,,,,,,,,,,,,,,,,,,
1,1,场,chǎng,"tràng, trường",場,41,机场 商场 场 广场 球场,"Sân, sửa chỗ đất không cho phẳng phắn gọi là tràng","threshing floor; classifier for events and happenings: spell, episode, bout",,,,,,,,,,,,,,,,,,,,,,,
1,1,唱,chàng,xướng,唱,8,唱 唱歌 演唱 演唱会 唱片,Hát,to sing, to call loudly, to chant,,,,,,,,,,,,,,,,,,,,,
1,1,车,chē,xa,車,61,车 车票 车上 车站 打车,Cái xe,surname Che,,,,,,,,,,,,,,,,,,,,,,,
1,1,吃,chī,cật,吃,12,吃 吃饭 好吃 吃惊 小吃,Nói lắp,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)",,,,,,,,,,,,,,,,,,,,,,,
1,1,出,chū,"xuất, xúy",出,95,出 出来 出去 出发 出国,"Ra ngoài, đối lại với chữ nhập 入 vào","to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc",,,,,,,,,,,,,,,,,,,,,,,
1,1,穿,chuān,xuyên,穿,7,穿 穿上 穿过 穿小鞋 穿越,Thủng lỗ,to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread,,,,,,,,,,,,,,,
1,2,床,chuáng,sàng,床,5,床 起床 病床 床位 临床,Cũng như chữ sàng 牀,bed, couch, classifier for beds,,,,,,,,,,,,,,,,,,,,,
1,1,次,cì,thứ,次,19,次 上次 下次 其次 多次,"Lần lượt, dưới bậc trên trở xuống bét đều gọi là thứ","next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",,,,,,,,,,,,,,,,,,,,,,,
1,1,从,cóng,tòng,從,23,从 从小 从来 从前 从事,Cùng nghĩa như chữ tòng 從 theo,variant of 从,,,,,,,,,,,,,,,,,,,,,,,
1,1,错,cuò,thác,錯,13,错 不错 错误 没错 错过,"Hòn đá ráp, đá mài",surname Cuo,,,,,,,,,,,,,,,,,,,,,,,
1,1,答,dá,đáp,答,8,回答 答应 答案 报答 答,"Báo đáp, đáp lại","bound form having the same meaning as the free word 答, used in 答应, 理 etc",,,,,,,,,,,,,,,,,,,,,,,
1,1,打,dǎ,đả,打,46,打 打车 打电话 打开 打球,Ðánh đập,dozen (loanword),,,,,,,,,,,,,,,,,,,,,,,
1,1,大,dà,"đại, thái",大,111,不大 大 大学 大学生 大部分,Lớn,big, large, great, older (than another person), eldest (as in 姐), greatly, freely, fully, (dialect) father, (dialect) uncle (father's brother),,,,,,,,,,,,,,
1,1,蛋,dàn,đản,蛋,6,鸡蛋 蛋 蛋糕 笨蛋 蛋白质,Một giống mán ở phương nam,variant of 蜑,,,,,,,,,,,,,,,,,,,,,,,
1,1,到,dào,đáo,到,49,到 得到 回到 看到 来到,Ðến nơi,to reach, to arrive, to leave for, to go to, to (a place), until (a time), up to (a point), (verb complement indicating arriving at a place or reaching a point), considerate, thoughtful, thorough,,,,,,,,,,,,,
1,1,道,dào,"đạo, đáo",道,39,知道 道 道理 道路 味道,Đường cái thẳng,"road; path; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) circuit (administrative division)",,,,,,,,,,,,,,,,,,,,,,,
