Level,Hanzi,Pinyin,Sino_Vietnamese,Traditional,POS,Examples,Viet_Meaning,English_Meaning
1,爱,ài,ái,愛,V,,yêu; thích/tình cảm/có khuynh hướng (làm gì đó); có xu hướng (xảy ra),to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)
1,爱好,àihào,ái hảo,愛好,V/N,,thích; đam mê; lấy làm thú vui; say mê/sở thích/LT:個|个[ge4],to like; to be fond of; to take pleasure in; to be keen on; interest; hobby
1,八,bā,bát,八,Num,,tám; 8,eight; 8
1,爸爸,bàba,ba ba,爸爸,N,,"(thông tục) cha; ba/LT:個|个[ge4],位[wei4]",(coll.) father; dad
1,爸,bà,ba,爸,N,,cha/ba/bố/papa,father; dad; pa; papa
1,吧,ba,ba,吧,Aux,,(từ tượng thanh) chụt!,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧"
1,白,bái,bạch,白,Adj,,trắng/tuyết/tinh khiết/sáng/trống/rỗng/đơn giản/rõ ràng/làm rõ/uổng/phí phạm/miễn phí/phản động/chống cộng/tang lễ/nhìn chằm chằm/viết sai chữ/phát biểu/giải thích/bạch thoại/lời thoại trong kinh kịch,surname Bai
1,白天,báitiān,bạch thiên,白天,N,,ban ngày/trong ngày/ngày/LT:個|个[ge4],daytime; during the day; day
1,百,bǎi,bách,百,Num,,một trăm/nhiều/tất cả các loại,surname Bai
1,班,bān,ban,班,N/M,,nhóm; lớp; khối/(quân sự) tiểu đội/ca làm việc/LT:個|个[ge4]/lượng từ cho nhóm người và các phương tiện giao thông theo lịch trình,surname Ban
1,半,bàn,bán,半,Num,,một nửa/bán-/chưa hoàn chỉnh/(sau một số) một nửa,half; semi-; incomplete; (after a number) and a half
1,半年,bàn nián,bán niên,半年,,,nửa năm,half a year
1,半天,bàntiān,bán thiên,半天,,,nửa ngày/một thời gian dài/khá lâu/giữa không trung/LT:個|个[ge4],half of the day; a long time; quite a while; midair
1,帮,bāng,bang,幫,V,,"giúp/hỗ trợ/ủng hộ/giúp ai đó (tức là như một sự giúp đỡ)/thuê (làm công)/bên (của thùng, thuyền, v.v.)/lớp ngoài/phần trên (của giày)/nhóm/băng/đảng/phái/hội kín",old variant of 帮
1,帮忙,bāngmáng,bang mang,幫忙,,,giúp/giúp đỡ/làm ơn/làm giúp một tay,to help; to lend a hand; to do a favor; to do a good turn
1,包,bāo,bao,包,N/M/V,,"che phủ/gói/cầm/nắm bao gồm/phụ trách/hợp đồng (làm hoặc cho)/bọc/đựng/túi/ôm hoặc ôm chặt/bó/LT:個|个[ge4],隻|只[zhi1]",surname Bao
1,包子,bāozi,bao tử,包子,N,,bánh bao (bánh hấp có nhân)/LT:個|个[ge4],bao (steamed stuffed bun)
1,杯,bēi,bôi,杯,M,,"biến thể của 杯[bei1]/cúp chiến thắng/lượng từ cho một số đồ chứa chất lỏng: ly, cốc","cup; trophy cup; classifier for certain containers of liquids: glass, cup"
1,杯子,bēizi,bôi tử,杯子,N,,"cốc/ly/LT:個|个[ge4],隻|只[zhi1]",cup; glass
1,北,běi,bắc,北,N,,phía bắc/(văn cổ) bị đánh bại,north; (classical) to be defeated
1,北边,běibian,bắc biên,北邊,N,,phía bắc/mặt bắc/phần phía bắc/về phía bắc của,north; north side; northern part; to the north of
1,北京,Běijīng,bắc kinh,北京,N,,"Bắc Kinh, thủ đô nước Cộng hòa Nhân dân Trung Hoa","Beijing, capital of the People's Republic of China"
1,本,běn,bổn,本,M,,"(hình thức kết hợp) gốc; rễ/(hình thức kết hợp) nguồn gốc; nguyên nhân/(hình thức kết hợp) của mình; này/(hình thức kết hợp) này; hiện tại (năm này, v.v.)/(hình thức kết hợp) ban đầu/(hình thức kết hợp) vốn có/nguyên gốc; ban đầu/vốn; chính/lượng từ cho sách, tạp chí, hồ sơ, v.v.","root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc"
1,本子,běnzi,bổn tử,本子,N,,"sách/quyển tập/truyện tranh tự xuất bản kiểu Nhật (đặc biệt là loại truyện người lớn), còn gọi là ""dōjinshi""/LT:本[ben3]/phiên bản","book; notebook; Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi""; edition"
1,比,bǐ,bỉ,比,Prep/V,,so sánh/(theo sau bởi danh từ và tính từ) {tính từ} hơn {danh từ}/tỉ lệ/ra hiệu/(phát âm [bi4] ở Đài Loan trong một số từ ghép có nguồn gốc từ văn học cổ điển Trung Quốc),Belgium; Belgian; abbr. for 比利时
1,别,bié,biệt,別,Adv,,"khiến ai đó thay đổi cách cư xử, ý kiến, v.v.",surname Bie
1,别的,biéde,biệt đích,別的,Pron,,khác,else; other
1,别人,biérén,biệt nhân,別人,Pron,,người khác; những người khác,other people; others; other person
1,病,bìng,bệnh,病,N/V,,bệnh/LT:場|场[chang2]/bệnh tật/ngã bệnh/khuyết điểm,illness; disease; to fall ill; defect
1,病人,bìngrén,bệnh nhân,病人,N,,người bệnh/bệnh nhân/người ốm/LT:個|个[ge4],sick person; patient; invalid
1,不大,bù dà,bất đại,不大,,,không quá/không nhiều/không thường,not very; not too; not often
1,不对,bùduì,bất đối,不對,Adj,,không chính xác/sai/sai lầm/bất thường/kỳ quặc,incorrect; wrong; amiss; abnormal; queer
1,不客气,bù kèqì,bất khách khí,不客氣,,,không có chi/đừng nhắc đến/không lịch sự/thô lỗ/cộc cằn,you're welcome; don't mention it; impolite; rude; blunt
1,不用,bùyòng,bất dụng,不用,Adv,,không cần,need not
1,不,bù,bất,不,Adv,,không; không phải/(hình thức kết hợp) không; bất-,no; not so; (bound form) not; un-
1,菜,cài,thái,菜,N,,"rau (LT:棵[ke1])/món ăn (LT:樣|样[yang4],道[dao4],盤|盘[pan2])/(kỹ năng, v.v.) yếu; kém/(thông tục) mẫu người (mình thích)",dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor
1,茶,chá,trà,茶,N,,"trà/cây trà/LT:杯[bei1],壺|壶[hu2]",tea; tea plant
1,差,chà,soa,差,V/Adj,,dùng trong 參差|参差[cen1 ci1],difference; discrepancy; (math.) difference (amount remaining after a subtraction); (literary) a little; somewhat; slightly
1,常,cháng,thường,常,Adv,,luôn luôn/thường xuyên/thường/phổ biến/chung/không đổi,surname Chang
1,常常,chángcháng,thường thường,常常,Adv,,thường xuyên/thường,frequently; often
1,唱,chàng,xướng,唱,V,,hát/gọi to/xướng,to sing; to call loudly; to chant
1,唱歌,chànggē,xướng ca,唱歌,,,hát một bài hát,to sing a song
1,车,chē,xa,車,N,,chiến xa (cổ đại)/xe pháo (trong cờ tướng)/xe (trong cờ vua),surname Che
1,车票,chēpiào,xa phiếu,車票,N,,vé (xe buýt hoặc tàu hỏa),ticket (for a bus or train)
1,车上,chē shang,xa thượng,車上,,,trên xe,Car
1,车站,chēzhàn,xa trạm,車站,N,,"ga tàu/dừng xe buýt/LT:處|处[chu4],個|个[ge4]",rail station; bus stop
1,吃,chī,cật,吃,V,,biến thể của 吃[chi1],"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)"
1,吃饭,chīfàn,cật phạn,吃飯,,,dùng bữa/ăn/kiếm sống,to have a meal; to eat; to make a living
1,出,chū,xuất,出,V,,biến thể của 出[chu1] (lượng từ cho vở kịch hoặc chương của tiểu thuyết cổ điển),"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc"
1,出来,chūlái,xuất lai,出來,,,"(sau động từ, chỉ ra ngoài, hoàn thành hành động, hoặc khả năng nhận biết hoặc phát hiện)",to come out; to appear; to arise
1,出去,chūqù,xuất khứ,出去,,,đi ra ngoài,to go out
1,穿,chuān,xuyên,穿,V,,mặc/mang/mặc vào/xuyên qua/đâm thủng/khoan/thâm nhập/đi qua/xâu qua,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread
1,床,chuáng,sàng,床,N,,biến thể của 床[chuang2],bed; couch; classifier for beds
1,次,cì,thứ,次,M,,"tiếp theo/thứ hai/ngày thứ hai, lần thứ hai, v.v./thứ cấp/phó-/phụ-/hạ-/chất lượng kém/không đạt tiêu chuẩn/thứ tự/trình tự/hypo- (hóa học)/lượng từ cho sự kiện: lần","next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time"
1,从,cóng,tòng,從,Prep,,từ; thông qua; qua/(hình vị) theo/(hình vị) tuân theo/(hình vị) tham gia (một hoạt động)/(dùng trước phủ định) từng/(hình vị) (cách phát âm tại Đài Loan [zong4]) người hầu; người tuỳ tùng/(hình vị) (cách phát âm tại Đài Loan [zong4]) trợ lý; phụ tá; cấp dưới/(hình vị) (cách phát âm tại Đài Loan [zong4]) có quan hệ cùng ông nội hoặc tổ tiên đời trước,variant of 从
1,错,cuò,thác,錯,Adj/N,,lỗi/sai/xấu/đan xen/phức tạp/mài/đánh bóng/luân phiên/so le/lỡ/để lỡ/tránh né/khảm vàng hoặc bạc,surname Cuo
1,打,dǎ,đả,打,V,,đánh/đập/vỗ/phá/gõ/trộn/xây/đấu/lấy/làm/buộc/phát/bắn/tính/chơi (một trò chơi)/từ/kể từ,dozen (loanword)
1,打车,dǎchē,đả xa,打車,,,bắt taxi (trong thành phố)/đón xe,to take a taxi (in town); to hitch a lift
1,打电话,dǎ diànhuà,đả điện thoại,打電話,,,gọi điện thoại,to make a telephone call
1,打开,dǎkāi,đả khai,打開,,,mở/cho xem (vé)/bật lên/kích hoạt,to open; to show (a ticket); to turn on; to switch on
1,打球,dǎ qiú,đả cầu,打球,,,chơi bóng/chơi với bóng,to play ball; to play with a ball
1,大,dà,đại,大,Adj,,xem 大夫[dai4 fu5],big; large; great; older (than another person); eldest (as in 姐); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother)
1,大学,dàxué,đại học,大學,N,,trường đại học/trường cao đẳng/LT:所[suo3],"the Great Learning, one of the Four Books 四书 in Confucianism"
1,大学生,dàxuéshēng,đại học sanh,大學生,N,,sinh viên đại học/sinh viên cao đẳng,university student; college student
1,到,dào,đáo,到,V,,đến; tới/rời đi đến; đi đến/đến (một nơi); cho đến (một thời gian); lên đến (một điểm)/(bổ ngữ động từ chỉ đến một nơi hoặc đạt đến một điểm)/chu đáo; tận tâm; kỹ lưỡng,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough
1,得到,dédào,đắc đáo,得到,,,được; đạt được; nhận được,to get; to obtain; to receive
1,地,de,địa,地,Aux,,đất/mặt đất/ruộng/vùng/đất đai/LT:片[pian4],"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct"
1,的,de,đích,的,Aux,,(hình thức kết hợp) hồng tâm; mục tiêu,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); also pr. [dì] or [di] in poetry and songs
1,等,děng,đẳng,等,V,,"đợi; chờ đợi/đến lúc; khi; tới/vân vân; v.v.; và những người khác, những thứ khác tương tự/(hình thức kết hợp) loại; cấp; hạng/(hình thức kết hợp) bằng với; giống như/(dùng để kết thúc liệt kê)/(văn học) (hậu tố số nhiều gắn với đại từ nhân xưng hoặc danh từ)",class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once
1,地,dì,địa,地,N,,đất/mặt đất/ruộng/vùng/đất đai/LT:片[pian4],"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct"
1,地点,dìdiǎn,địa điểm,地點,N,,nơi/chỗ/địa điểm/địa điểm tổ chức/LT:個|个[ge4],place; site; location; venue
1,地方,dìfang,địa phương,地方,N,,"khu vực/nơi/chỗ/không gian/lãnh thổ/LT:處|处[chu4],個|个[ge4],塊|块[kuai4]",region; regional (away from the central administration); local
1,地上,dìshang,địa thượng,地上,,,trên mặt đất/trên sàn nhà,on the ground; on the floor
1,地图,dìtú,địa đồ,地圖,N,,"bản đồ/LT:張|张[zhang1],本[ben3]",map
1,弟弟,dìdi,đệ đệ,弟弟,N,,"em trai/LT:個|个[ge4],位[wei4]",younger brother
1,弟,dì,đệ,弟,N,,biến thể của 悌[ti4],younger brother; junior male; I (modest word in letter)
